cap101.txt: Costo Total = 832291.1500000001, Validez = True, Tiempo = 0.34s
cap102.txt: Costo Total = 929084.2500000001, Validez = True, Tiempo = 0.41s
cap103.txt: Costo Total = 1059898.8375000001, Validez = True, Tiempo = 0.33s
cap104.txt: Costo Total = 1248192.2500000002, Validez = True, Tiempo = 0.35s
cap121.txt: Costo Total = 991571.4500000004, Validez = True, Tiempo = 0.69s
cap122.txt: Costo Total = 1236571.45, Validez = True, Tiempo = 0.76s
cap123.txt: Costo Total = 1468832.0875, Validez = True, Tiempo = 0.70s
cap124.txt: Costo Total = 1835045.3999999994, Validez = True, Tiempo = 0.65s
cap131.txt: Costo Total = 991571.4500000004, Validez = True, Tiempo = 0.77s
cap132.txt: Costo Total = 1236571.45, Validez = True, Tiempo = 0.72s
cap133.txt: Costo Total = 1461212.2624999997, Validez = True, Tiempo = 0.74s
cap134.txt: Costo Total = 1840800.774999999, Validez = True, Tiempo = 0.76s
cap61.txt: Costo Total = 950470.1875, Validez = True, Tiempo = 0.28s
cap62.txt: Costo Total = 995264.1000000001, Validez = True, Tiempo = 0.25s
cap63.txt: Costo Total = 1099129.8750000002, Validez = True, Tiempo = 0.29s
cap64.txt: Costo Total = 1203375.2250000003, Validez = True, Tiempo = 0.26s
cap71.txt: Costo Total = 950470.1875, Validez = True, Tiempo = 0.27s
cap72.txt: Costo Total = 999049.5875000001, Validez = True, Tiempo = 0.26s
cap73.txt: Costo Total = 1089429.4625000001, Validez = True, Tiempo = 0.24s
cap74.txt: Costo Total = 1203612.1250000002, Validez = True, Tiempo = 0.25s
cap91.txt: Costo Total = 832291.1500000001, Validez = True, Tiempo = 0.39s
cap92.txt: Costo Total = 932697.275, Validez = True, Tiempo = 0.35s
cap93.txt: Costo Total = 1056610.6625, Validez = True, Tiempo = 0.35s
cap94.txt: Costo Total = 1246092.6625, Validez = True, Tiempo = 0.37s
